	I	O	P	pmid	y
0	Clinical pharmacokinetics and clinical potential.. Fosinopril is a phosphorus-containing ester prodrug of an angiotensin-converting enzyme (ACE) inhibitor.	On the other hand, fosinoprilat is excreted both in urine and bile (as with temocaprilat, zofenoprilat and spiraprilat), and thus an adjustment of dosage and/or administration interval may be unnecessary in patients with moderate to severe renal dysfunction, as impaired renal function influences little of the pharmacokinetics of fosinoprilat.	On the other hand, fosinoprilat is excreted both in urine and bile (as with temocaprilat, zofenoprilat and spiraprilat), and thus an adjustment of dosage and/or administration interval may be unnecessary in patients with moderate to severe renal dysfunction, as impaired renal function influences little of the pharmacokinetics of fosinoprilat.	9195116	-1
1	METHODS: A group of 50 patients of both sexes, between 66 and 83 years of age, suffering from essential arterial hypertension and treated with Enalapril administered at doses varying from 10 to 20 mg/day, for a period of 18 months, has been studied.	RESULTS AND CONCLUSIONS: The results of this study showed that blood pressure values of almost all the patients treated normalised and left ventricular hypertrophy decreased in all patients with this complication.	METHODS: A group of 50 patients of both sexes, between 66 and 83 years of age, suffering from essential arterial hypertension and treated with Enalapril administered at doses varying from 10 to 20 mg/day, for a period of 18 months, has been studied.	10719438	-1
2	Low-grade fever after prosthetic valve insertion and captopril therapy: an iatrogenic cause..	Low-grade fever after prosthetic valve insertion and captopril therapy: an iatrogenic cause..	Low-grade fever after prosthetic valve insertion and captopril therapy: an iatrogenic cause..	9519205	-1
3	Heart failure.. Heart failure is predominantly a disorder of older adults, and to a large extent the epidemiology of heart failure reflects the convergence of age-related changes in the cardiovascular system and the rising prevalence of age-related cardiovascular diseases.	Heart failure.. Heart failure is predominantly a disorder of older adults, and to a large extent the epidemiology of heart failure reflects the convergence of age-related changes in the cardiovascular system and the rising prevalence of age-related cardiovascular diseases.	Heart failure.. Heart failure is predominantly a disorder of older adults, and to a large extent the epidemiology of heart failure reflects the convergence of age-related changes in the cardiovascular system and the rising prevalence of age-related cardiovascular diseases.	10093769	-1
4	The metabolic effects of captopril 25 mg twice daily and atenolol 50 mg daily on glucose, insulin and lipids were compared in 83 otherwise healthy mild-to-moderate hypertensive between the ages of 25 and 60 years in a randomised double-blind trial.	Hourly glucose and insulin levels were measured during a 2-hour 75 g oral glucose tolerance test at baseline and after 12 weeks of treatment.	A comparison of the metabolic effects of captopril and atenolol on glucose, insulin and lipoproteins in patients with mild-to-moderate essential hypertension..	8600607	-1
5	Antihypertensive treatment based on conventional or ambulatory blood pressure measurement.	MAIN OUTCOME MEASURES: The CBP and ABP levels, intensity of drug treatment, electrocardiographic and echocardiographic left ventricular mass, symptoms reported by questionnaire, and cost.	PARTICIPANTS: A total of 419 patients (> or =18 years), whose untreated diastolic blood pressure (DBP) on CBP measurement averaged 95 mm Hg or higher, randomized to CBP or ABP arms.	9315764	-1
6	DESIGN: The effects of lisinopril at 10-40 mg/day versus nifedipine gastrointestinal therapeutic system (GITS) at 30-90 mg/day on blood pressure and baroreflex sensitivity were studied after 3 weeks each on (1) single-blind placebo, (2) double-blind assignment to either lisinopril or nifedipine, (3) single-blind placebo, and (4) crossover to double-blind lisinopril or nifedipine.	Measurements at the end of the four phases included 24-h blood pressure using the Accutracker, laboratory hemodynamics with the Dinamap and impedance cardiography, baroreflex sensitivity with the pneumatic neck chamber, and plasma samples for neurohumoral and metabolic activity.	PATIENTS: Thirteen patients aged 55 years or older (mean +/- SEM 65 +/- 1 years) with mild-to-moderate hypertension completed the study.	8258676	-1
7	After 4 weeks of PBO treatment, 223 patients with sitting diastolic blood pressure (SDBP) of 95-114 mm Hg and sitting systolic blood pressure (SSBP) < or =200 mm Hg, inclusive, were randomized to PBO (114 patients: M, 56; W, 58) and MO/HCTZ 3.75/6.25 mg (109 patients: M, 58; W, 51) given once daily and followed up for 12 weeks.	The results of this study indicate (a) a once-daily very low dose fixed combination of MO/HCTZ is effective and well tolerated by men and women with mild to moderate essential hypertension; (b) it is almost devoid of clinical and metabolic side effects; and (c) the safety profile was similar in men and women.	The results of this study indicate (a) a once-daily very low dose fixed combination of MO/HCTZ is effective and well tolerated by men and women with mild to moderate essential hypertension; (b) it is almost devoid of clinical and metabolic side effects; and (c) the safety profile was similar in men and women.	9514183	-1
8	METHODS: We investigated 45 patients (age 55 +/- 10 years) with stable CHF who presented with a maintenance dosage of enalapril of either 5 mg given twice daily (E10; n = 16), 10 mg given twice daily (E20; n = 18), or 20 mg given twice daily (E40; n = 11). After augmentation of enalapril to 40 mg daily, patients in the E10 group showed an increase in maximal oxygen consumption and a decrease in neurohormonal stimulation, whereas the opposite changes were observed after reduction of enalapril to 10 mg daily in patients in the E20 and E40 groups (maximal oxygen consumption: Delta1.1 +/- 2.0 vs -1.0 +/- 1.9 mL.	Within-patient comparison of effects of different dosages of enalapril on functional capacity and neurohormone levels in patients with chronic heart failure.. BACKGROUND: Angiotensin-converting enzyme (ACE) inhibitors are established as first-line therapy in chronic heart failure (CHF).	METHODS: We investigated 45 patients (age 55 +/- 10 years) with stable CHF who presented with a maintenance dosage of enalapril of either 5 mg given twice daily (E10; n = 16), 10 mg given twice daily (E20; n = 18), or 20 mg given twice daily (E40; n = 11).	10502210	-1
9	The treatment of heart failure.	The treatment of heart failure.	The treatment of heart failure.	9152644	-1
10	However, the paucity of prospective, randomized clinical trials makes it difficult to precisely define treatment strategies.	The prevalence of hypertension is extremely high in end-stage renal disease, and is a probable contributor to the epidemic of cardiovascular disease in end-stage renal disease.	The prevalence of hypertension is extremely high in end-stage renal disease, and is a probable contributor to the epidemic of cardiovascular disease in end-stage renal disease.	10847330	-1
11	Potential angiotensin-converting enzyme inhibitor-epoetin alfa interaction in patients receiving chronic hemodialysis.. We compared epoetin alfa (EPO) dose requirements and hematocrit response in 17 patients receiving chronic hemodialysis at baseline and after 3 and 12 months of therapy with angiotensin-converting enzyme (ACE) inhibitors (12 enalapril, 5 captopril).	Potential angiotensin-converting enzyme inhibitor-epoetin alfa interaction in patients receiving chronic hemodialysis.. We compared epoetin alfa (EPO) dose requirements and hematocrit response in 17 patients receiving chronic hemodialysis at baseline and after 3 and 12 months of therapy with angiotensin-converting enzyme (ACE) inhibitors (12 enalapril, 5 captopril).	Potential angiotensin-converting enzyme inhibitor-epoetin alfa interaction in patients receiving chronic hemodialysis.. We compared epoetin alfa (EPO) dose requirements and hematocrit response in 17 patients receiving chronic hemodialysis at baseline and after 3 and 12 months of therapy with angiotensin-converting enzyme (ACE) inhibitors (12 enalapril, 5 captopril).	9620114	-1
12	The objective of this study was to evaluate the effect of propionyl-L-carnitine on exercise capacity in mild moderate chronic heart failure patients, treated with ACE inhibitors and diuretics.	The primary objective was the evaluation of the effect of propionyl-L-carnitine vs placebo on maximum exercise duration using a bicycle exercise test.	Study on propionyl-L-carnitine in chronic heart failure..	10075143	-1
13	In a second two-phase study, 6 healthy subjects received, 4 hours after enalapril (20 mg) or placebo, an intra-arterial infusion of the NEP inhibitor thiorphan (30 nmol/min).	Systemic inhibition of NEP does not consistently lower blood pressure, even though it increases natriuretic peptide concentrations and causes natriuresis and diuresis.	In a second two-phase study, 6 healthy subjects received, 4 hours after enalapril (20 mg) or placebo, an intra-arterial infusion of the NEP inhibitor thiorphan (30 nmol/min).	9639376	-1
14	Initial doses of captopril are 0.5 mg/kg in children > 6 months of age and 0.01-0.1 mg/kg in neonates, because of an apparent increased antihypertensive effect and duration of action in this age group.	The predominant trend in pediatric antihypertensive management is towards increasing reliance on angiotensin converting enzyme (ACE) inhibitors and calcium channel blockers because of their general effectiveness, low incidence of adverse reactions and potential specific benefit in patients with renal disease.	Initial doses of captopril are 0.5 mg/kg in children > 6 months of age and 0.01-0.1 mg/kg in neonates, because of an apparent increased antihypertensive effect and duration of action in this age group.	8064788	-1
15	The Captopril Prevention Project (CAPP) Study Group..	Effect of angiotensin-converting enzyme inhibition compared with conventional therapy on cardiovascular morbidity and mortality in hypertension: the Captopril Prevention Project (CAPP) randomized trial.	Effect of angiotensin-converting enzyme inhibition compared with conventional therapy on cardiovascular morbidity and mortality in hypertension: the Captopril Prevention Project (CAPP) randomized trial.	11041675	-1
